StudentName,Preference1,Preference2,Preference3,Preference4,Preference5
John,Harvard,Stanford,MIT,Yale,Princeton
Emma,Stanford,Harvard,Yale,MIT,Princeton
Oliver,MIT,Yale,Harvard,Stanford,Princeton
Alice,Yale,Princeton,Stanford,Harvard,MIT
Bob,Princeton,MIT,Yale,Stanford,Harvard
Charlie,Harvard,Yale,Princeton,Stanford,MIT
David,Stanford,MIT,Harvard,Yale,Princeton
Eve,MIT,Princeton,Yale,Harvard,Stanford
Frank,Yale,Harvard,Stanford,Princeton,MIT
Grace,Princeton,Stanford,MIT,Yale,Harvard
Hannah,Harvard,Princeton,Yale,MIT,Stanford
Isaac,Stanford,Yale,MIT,Princeton,Harvard
Jack,MIT,Harvard,Princeton,Stanford,Yale
Katie,Yale,Stanford,Harvard,Princeton,MIT
Leo,Princeton,MIT,Yale,Harvard,Stanford
Mia,Harvard,Yale,Stanford,Princeton,MIT
Noah,Stanford,Princeton,MIT,Yale,Harvard
Olivia,MIT,Yale,Princeton,Harvard,Stanford
Peter,Yale,Harvard,Stanford,MIT,Princeton
Quinn,Princeton,Stanford,Harvard,Yale,MIT
